"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,101,yandex,cpc,freemium,501754,101,25,1654810
2023-06-01,74,yandex,cpc,prof-frontend,1827336,74,12,1057000
2023-06-01,65,yandex,cpc,prof-python,1253608,65,8,680246
2023-06-01,28,yandex,cpc,base-python,173465,28,7,476021
2023-06-01,40,vk,cpc,prof-python,145348,40,5,355564
2023-06-01,44,vk,cpc,freemium-frontend,78763,44,5,338083
2023-06-01,49,yandex,cpc,prof-java,991171,49,4,284590
2023-06-01,41,yandex,cpc,base-frontend,191275,41,3,268515
2023-06-01,24,vk,cpc,prof-java,132757,24,2,232726
2023-06-01,14,yandex,cpc,prof-data-analytics,201507,14,2,220264
2023-06-01,13,yandex,cpc,prof-professions-brand,123375,13,3,154287
2023-06-20,1,telegram,cpp,base-java,,1,1,151192
2023-06-01,4,yandex,cpc,dod-php,20636,4,1,150255
2023-06-01,4,yandex,cpc,base-professions-retarget,9115,4,1,134100
2023-06-25,1,admitad,cpa,admitad,,1,1,134100
